Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2015-08-26,1077.7686767578125,,,,,,,,,,,,,,,,
2015-08-27,1593.2498779296875,,,,,,,,,,,,,,,,
2015-08-28,1593.2498779296875,,,,,,,,,,,,,,,,
2015-08-29,1593.2498779296875,,,,,,,,,,,,,,,,
2015-08-30,1593.2498779296875,,,,,,,,,,,,,,,,
2015-08-31,1593.2498779296875,,,,,,,,,,,,,,,,
2015-09-01,1593.2498779296875,,,,,,,,,,,,,,,,
2015-09-02,1593.2498779296875,,,,,,,,,,,,,,,,
2015-09-03,1593.2498779296875,,,,,,,,,,,,,,,,
2015-09-04,1593.2498779296875,,,,,,,,,,,,,,,,
2015-09-05,1593.2498779296875,,,,,,,,,,,,,,,,
2015-09-06,1593.2498779296875,,,,,,,,,,,,,,,,
2015-09-07,515.481201171875,,,,,,,,,,,,,,,,
2015-09-09,1290.3709716796875,3310.98046875,12.922210693359375,77.6473159790039,12.958464622497559,77.71654510498047,1.4674640893936157,4.0,0.5,5154,74.0,74.0,74.0,,52636240,3562926,
2015-09-10,1873.624755859375,3292.643310546875,12.922513008117676,77.64762878417969,12.958706855773926,77.71666717529297,,,,6458,,,,,76602848,4698700,
2015-09-11,2387.04931640625,6695.9619140625,12.922401428222656,77.64786529541016,12.958649635314941,77.71661376953125,4.247579097747803,18.5,0.55901700258255,11486,,,,3122854,71203502,7643197,169437
2015-09-12,1735.3070068359375,2412.981689453125,12.92247200012207,77.64761352539062,12.924613952636719,77.6491928100586,7.354777812957764,16.0,0.5,4131,,,,,83367953,2380684,
2015-09-13,1958.764892578125,142.79165649414062,12.919451713562012,77.64737701416016,12.922844886779785,77.64916229248047,1.687868356704712,5.0,0.5,1322,,,,3404432,81216863,375562,
2015-09-14,1792.706787109375,2336.65625,12.911717414855957,77.64765167236328,12.958789825439453,77.71746826171875,5.130801677703857,10.75,0.5,5768,,,,,75766378,3342625,
2015-09-15,1843.3446044921875,3550.12060546875,12.921822547912598,77.64775848388672,12.958820343017578,77.71676635742188,3.633927822113037,6.269968032836914,1.0,6970,,,,,76962703,4191251,
2015-09-16,1751.0582275390625,2145.512939453125,12.922544479370117,77.64801788330078,12.958818435668945,77.71669006347656,3.375915288925171,12.651580810546875,0.5,4256,,,,,77159327,2624888,
